ipv4,ipv6,id
69.89.31.226,2001:odb8:85a3:000:0000:8a2e,1
89.78.31.223,2001:db8:85a3:8d3:1319:8a2e:370:7432,2
193.228.56.51,2001:db8:85a3:8d3:1319:8a2e:370:7348,3
89.78.31.242,2001:odb8:85a3:000:0020:8a2e,4
123.68.32.243,2001:db8:85a3:8d3:1319:7a2e:370:7432,5
126.67.45.43,2001:odb7:8a3:1321:8ae2:320:7474,6
189.68.56.32,2001:odb6:85a2:8d3:000:0000:6a2e,7
69.80.32.226,2001:odb4:85a3:000:0020:8a2e,8
78.98.32.125,2001:db8:84a3:8d3:1319:5a2e:370:7432,9
98.45.32.21,2001:db8:85a3:8d3:1319:7a2e:370:7432,10
